Female Total,Female Percentage,Male Total,Male Percentage,Zipcode,Grand Total
1670,52.83,1491,47.17,25248,3161
152,44.44,190,55.56,25251,342
560,48.53,594,51.47,25252,1154
966,44.39,1210,55.61,25253,2176
268,42.61,361,57.39,25259,629
779,56.45,601,43.55,25260,1380
348,45.43,418,54.57,25262,766
149,43.19,196,56.81,25264,345
643,48.16,692,51.84,25265,1335
402,49.57,409,50.43,25266,811
259,42.53,350,57.47,25267,609
483,47.82,527,52.18,25268,1010
448,51.55,421,48.45,25270,869
5020,51.87,4658,48.13,25271,9678
905,45.85,1069,54.15,25275,1974
3932,50.1,3916,49.9,25276,7848
712,49.86,716,50.14,25286,1428
849,64.91,459,35.09,25287,1308
1142,48.39,1218,51.61,25301,2360
7188,50.18,7136,49.82,25302,14324
3993,55.8,3163,44.2,25303,7156
4411,53.1,3896,46.9,25304,8307
3426,49.22,3535,50.78,25306,6961
7402,53.09,6540,46.91,25309,13942
5607,51.83,5211,48.17,25311,10818
7753,51.6,7272,48.4,25312,15025
6234,50.96,5999,49.04,25313,12233
7258,50.92,6995,49.08,25314,14253
1775,52.33,1617,47.67,25315,3392
3355,49.75,3389,50.25,25320,6744
7917,55.97,6229,44.03,25401,14146
6032,47.88,6566,52.12,25403,12598
11452,50.96,11019,49.04,25404,22471
6938,50.97,6673,49.03,25405,13611
6296,50.24,6236,49.76,25411,12532
3927,48.75,4128,51.25,25413,8055
9143,52.26,8353,47.74,25414,17496
5237,48.88,5478,51.12,25419,10715
2040,51.36,1932,48.64,25420,3972
1027,53.13,906,46.87,25422,1933
6703,49.2,6921,50.8,25425,13624
6835,50.54,6688,49.46,25427,13523
6530,50.42,6421,49.58,25428,12951
4286,48.97,4467,51.03,25430,8753
1148,46.99,1295,53.01,25434,2443
134,40.36,198,59.64,25437,332
3426,52.62,3085,47.38,25438,6511
836,47.74,915,52.26,25442,1751
3759,49.45,3842,50.55,25443,7601
776,53.22,682,46.78,25446,1458
582,47.78,636,52.22,25501,1218
695,64.41,384,35.59,25502,1079
862,51.8,802,48.2,25503,1664
6147,47.87,6693,52.13,25504,12840
334,45.26,404,54.74,25505,738
2685,49.36,2755,50.64,25506,5440
471,52.51,426,47.49,25507,897
4693,51.7,4384,48.3,25508,9077
2397,47.41,2659,52.59,25510,5056
542,51.08,519,48.92,25511,1061
393,47.99,426,52.01,25512,819
